"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"51",51,"1001 N Park St",34.9641304347826,58337.5975609756,92,52221,36479,9778,457,4083,1424,"13","045","00326650","0500000US13045","13045","Carroll","Carroll County","GA","Georgia","06",1292752874,12024409,"GA","state",c(-85.07915, 33.594564)
"52",52,"1001 Northside Dr NW",35.9617857142857,68415.5821428571,284,200473,73976,88048,13363,18781,6305,"13","121","01694833","0500000US13121","13121","Fulton","Fulton County","GA","Georgia","06",1364133162,19666288,"GA","state",c(-84.407026, 33.781909)
"53",53,"1001 Van Streat Hwy",40.4711538461538,41824.5657894737,156,32319,22954,6326,345,2340,354,"13","069","00347456","0500000US13069","13069","Coffee","Coffee County","GA","Georgia","06",1533972030,26884091,"GA","state",c(-82.63468, 31.517746)
"54",54,"1001 Van Streat Hwy",38.6429752066116,44927.7179487179,121,39656,26500,8712,330,3621,493,"13","069","00347456","0500000US13069","13069","Coffee","Coffee County","GA","Georgia","06",1533972030,26884091,"GA","state",c(-82.634699, 31.517843)
"55",55,"10010 Tara Blvd",35.3233160621762,56109.1191709845,193,93088,24777,52485,2934,9623,3269,"13","063","01672399","0500000US13063","13063","Clayton","Clayton County","GA","Georgia","06",366879097,6962586,"GA","state",c(-84.338717, 33.48193)
"56",56,"1002 Oakridge Dr",41.3028985507246,47276.8134328358,138,54677,29014,20038,1362,3380,883,"13","095","00351259","0500000US13095","13095","Dougherty","Dougherty County","GA","Georgia","06",851183381,15352851,"GA","state",c(-84.176356, 31.548689)
"57",57,"1002 W Main St",43.3846153846154,58283.6923076923,13,9529,7637,1571,16,243,62,"13","207","00343073","0500000US13207","13207","Monroe","Monroe County","GA","Georgia","06",1025872448,5643846,"GA","state",c(-83.965078, 33.030152)
"58",58,"1003 Canton St",45.5219047619048,133057.476190476,105,57324,44527,5203,3587,2624,1383,"13","121","01694833","0500000US13121","13121","Fulton","Fulton County","GA","Georgia","06",1364133162,19666288,"GA","state",c(-84.361174, 34.026022)
"59",59,"1003 Forest Pkwy",36.9508771929825,52401.1684587814,285,149975,33959,90455,5697,15712,4152,"13","063","01672399","0500000US13063","13063","Clayton","Clayton County","GA","Georgia","06",366879097,6962586,"GA","state",c(-84.357468, 33.617659)
"60",60,"1003 Long Bridge Rd",35.9680555555556,59628.4305555556,72,39286,26738,6615,612,3857,1464,"13","103","00350219","0500000US13103","13103","Effingham","Effingham County","GA","Georgia","06",1240161595,10552453,"GA","state",c(-81.22778, 32.362398)
